건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,공사종료일,주용도,데이터기준일자
신축,서울특별시 성북구 삼선동4가 351-1 외1필지,대,526.9,298.19,4166.89,2021-04-01,2022-05-20,,업무시설,2022-10-18
신축,서울특별시 성북구 성북동 168-91,대,143.23,82.2,291.99,2018-05-31,2021-01-14,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 716-159,대,250.91,99.13,418.48,2019-07-31,2019-09-18,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 정릉동 772-28,대,342,204.9,489.74,2019-03-19,2019-05-28,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 145-142,대,470,136.12,325.85,2020-07-31,2020-12-01,,단독주택,2022-10-18
신축,서울특별시 성북구 하월곡동 118,대,131.09,65.5,262,2021-01-29,2021-03-26,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 330-308,대,880,262.38,1258.18,2017-11-21,2020-05-06,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 330-611,대,650,194.15,850.92,2017-12-28,2020-05-06,,단독주택,2022-10-18
신축,서울특별시 성북구 장위동 219-35,대,268.35,158.4,703.07,2022-05-12,2022-08-17,,공동주택,2022-10-18
신축,서울특별시 성북구 종암동 3-116 외1필지,대,248,133.7253,576.3078,2021-08-06,2022-08-17,,공동주택,2022-10-18
신축,서울특별시 성북구 석관동 343-2 외4필지,대,694,317.45,2211.84,2022-05-23,2022-08-30,,업무시설,2022-10-18
대수선,서울특별시 성북구 성북동 25-38,대,655,196.19,397.89,2021-12-29,2022-08-30,,단독주택,2022-10-18
신축,서울특별시 성북구 삼선동4가 272 외1필지,대,253.6,150.78,476.55,2022-06-20,2022-09-08,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 289-15,대,171.7,100.56,419.48,2022-06-28,2022-09-14,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 109-24 외1필지,대,379,226.14,1012.75,2022-03-25,2022-09-23,,업무시설,2022-10-18
신축,서울특별시 성북구 종암동 7-6 외1필지,대,809,373.02,2876.21,2021-05-06,2022-09-23,,노유자시설,2022-10-18
신축,서울특별시 성북구 종암동 62-29 외1필지,대,287,143.45,775.25,2022-01-05,2022-09-28,,단독주택,2022-10-18
신축,서울특별시 성북구 길음동 1238,대,333.9,166.73,864.58,2021-09-17,2022-10-07,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 290-40 외3필지,대,315.81,181.54,840.9,2022-03-15,2022-10-12,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 266-485,대,164,97.43,426.8,2022-04-26,2022-10-14,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 330-448 외1필지,대,1003,298.75,965.03,2022-06-17,2022-10-18,,단독주택,2022-10-18
신축,서울특별시 성북구 안암동5가 1-2번지,대,640850,20614.4,920314.44,2017-00-00,,,교육연구시설,2022-10-18
신축,서울특별시 성북구 동소문동6가 261-2,대,5164.4,1843.92,13978.51,2017-00-00,,,공동주택(기숙사),2022-10-18
신축,서울특별시 성북구 하월곡동 88-222 외2필지,대,1.223,733.62,13688.17,2020-00-00,,,공동주택(도시형 생활주택),2022-10-18
